bar,3336,12
resub -K 6 -l; 
1
cavlc,690,16
balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; 
56
ctrl,131,9
refactor -z -l; 
1
i10,2272,54
refactor -z -l; 
1
i2c,1325,17
refactor -z -l; refactor -z -l; 
2
int2float,247,18
refactor -z -l; refactor -z -l; 
2
max,2865,232
refactor -z -l; 
1
priority,614,134
resub -K 16 -N 2 -l; 
1
router,200,25
refactor -z -l; refactor -z -l; refactor -z -l; refactor -z -l; refactor -z -l; 
5
sin,5313,218
refactor -z -l; refactor -z -l; 
2
square,18289,250
refactor -z -l; refactor -z -l; refactor -z -l; refactor -z -l; 
4
voter,10974,65
refactor -z -l; refactor -z -l; 
2
