i2c,1278,16
balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; 
14
router,257,27
balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; balance -l; 
12
square,17112,249
balance -l; balance -l; rewrite -l; rewrite -l; rewrite -l; balance -l; rewrite -l; rewrite -l; rewrite -l; resub -K 12 -l; balance -l; rewrite -l; rewrite -l; 
13
max,2865,229
balance -l; balance -l; rewrite -l; rewrite -l; rewrite -l; 
5
voter,10704,59
balance -l; balance -l; balance -l; rewrite -l; rewrite -l; balance -l; balance -l; rewrite -l; rewrite -l; balance -l; balance -l; rewrite -l; rewrite -l; balance -l; balance -l; rewrite -l; 
16
priority,632,137
balance -l; balance -l; balance -l; resub -K 6 -N 2 -l; resub -K 6 -N 2 -l; resub -K 6 -N 2 -l; balance -l; resub -K 6 -N 2 -l; 
8
i10,1901,35
balance -l; balance -l; balance -l; rewrite -z -l; balance -l; balance -l; balance -l; rewrite -z -l; balance -l; balance -l; balance -l; 
11
int2float,223,18
balance -l; balance -l; rewrite -z -l; 
3
sin,5230,184
balance -l; balance -l; rewrite -l; rewrite -l; rewrite -l; rewrite -l; rewrite -l; rewrite -l; rewrite -l; balance -l; rewrite -l; 
11
cavlc,672,17
balance -l; balance -l; refactor -z -l; refactor -z -l; balance -l; balance -l; balance -l; refactor -z -l; balance -l; balance -l; balance -l; refactor -z -l; balance -l; balance -l; balance -l; refactor -z -l; 
16
ctrl,131,9
refactor -z -l; 
1
bar,3141,15
rewrite -z -l; balance -l; rewrite -z -l; balance -l; rewrite -z -l; balance -l; rewrite -z -l; balance -l; rewrite -z -l; 
9
