max,2849,150
rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; 
22
i2c,1571,17
rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; 
13
router,360,31
rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; 
17
voter,11183,73
rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; 
26
priority,1204,186
rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; 
19
int2float,270,12
rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; 
15
square,19127,170
rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; rewrite; 
20
sin,6550,157
rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; 
20
i10,3364,27
balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; 
46
ctrl,132,7
balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; balance crit; rewrite azg udc; balance crit; balance crit; balance crit; rewrite azg udc; balance crit; balance crit; balance crit; rewrite azg; balance crit; balance crit; balance crit; rewrite azg; balance crit; balance crit; rewrite; rewrite azg; balance crit; balance crit; rewrite azg udc; rewrite azg; balance crit; balance crit; rewrite azg; rewrite azg; 
36
cavlc,733,14
balance crit; rewrite azg; balance crit; balance crit; balance crit; rewrite azg; balance crit; balance crit; balance crit; rewrite azg; balance crit; balance crit; balance crit; rewrite azg; balance crit; balance crit; rewrite azg; balance crit; balance crit; rewrite azg; rewrite azg; balance crit; balance crit; rewrite azg; rewrite azg; balance crit; balance crit; rewrite azg; 
28
bar,3309,12
rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; rewrite azg; 
16
