max,4.617713406859558,4.640755088231833,4.795259172712987,4.844762411134813,4.640729248946187
i2c,2.088416488913617,2.048344493119757,1.1085867798825195,1.6327080979020574,2.0506532261053008
multiplier,0.26538959854139027,0.26539533850070196,0.2616292394830352,0.2687575170757312,0.26375077111009476
router,12.7418126550323,11.922848971363067,12.78635827485516,12.801598608940406,12.819896907653375
ctrl,-85.49935925798852,-92.32716783240087,-87.33652171686825,-78.2293251013301,-77.53457246347911
sqrt,0.8134950817215526,0.811937368478274,0.8155700237923413,0.8128955683061477,0.820890731426284
voter,1.126298839908869,1.1246204939990283,1.1224776775277112,1.1275972248024952,1.1262349012808663
mem_ctrl,0.07785407953745217,0.06798814467518033,0.07805624749657547,0.07759142995452029,0.07764768559872151
priority,6.565682297080724,6.735004707182084,6.56473725011408,6.754542230539102,6.635605257800841
int2float,4.546642741540159,4.576403588450747,4.596491369708254,4.6073654362214445,4.594667647876925
cavlc,2.3398881508165337,2.347686701859842,2.345081557063733,2.3706038130862637,2.359741563247684
square,0.39778829775862223,0.40383288507740145,0.40255421117479095,0.40174271175781795,0.40146471923529814
log2,0.21655895095153635,0.22012350196130248,0.2196347662320159,0.22023116404513016,0.21829278125196308
sin,1.6590019727443273,1.7283052524172897,1.734798909060398,1.7312768168482977,1.7198071325775555
i10,2.2731972149915003,2.1270536572358036,2.2862795300028713,2.268673959744291,2.255843508658983
bar,0.6437066052983922,0.6448985179323646,0.6425460479497136,0.6464354436465155,0.650029695268241
